0,1,2,3,4,5,6,care_p,fairness_p,loyalty_p,authority_p,sanctity_p,care_sent,fairness_sent,loyalty_sent,authority_sent,sanctity_sent,moral_nonmoral_ratio,f_var,sent_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,q&a,random,general live event,About secular people,TRUE,TRUE,0.05557028,0,0.042284632,0.028846154,0.011029412,0.019409615,0,0.001358923,-0.031075926,-0.022455556,2,0.000508964,0.000408466,,,About Christians,TRUE,FALSE,0.057800328,0,0.074527661,0.007590133,0.004524887,0.007048219,0,-0.002648321,0.011323529,0.003075588,Christians,,About other religious people,TRUE,FALSE,0.030630631,0,0.048611111,0.045717593,0,-0.002558824,0,-0.014238095,-0.041270464,0
2008,Interview in person,atheist,recorded for general public,About atheists,FALSE,FALSE,0,0,0.049809289,0,0,0,0,-0.024507883,0,0,0.2,0.000496193,0.000120127,,,About Christian preachers,FALSE,FALSE,0.049738639,0.030424799,0.018248175,0,0,0.034427599,0.003214151,-0.01103,0,0,Christians,,,,,,,,,,,,,,
2008,Interview in person,atheist,recorded for general public,About atheists,TRUE,FALSE,0,0,0.116109138,0,0,0,0,0.113105177,0,0,0.714285714,0.002696266,0.002558556,,,About Christian preachers,FALSE,TRUE,0,0.176470588,0,0,0,0,-0.373666667,0,0,0,Christians,,,,,,,,,,,,,,
2009,q&a,random,general live event,About other religious people,TRUE,TRUE,0.099063289,0,0.032,0.02519685,0,-0.101616023,0,0.032518333,0.01455625,0,0.714285714,0.001647243,0.002750047,,,About Christian preachers,TRUE,FALSE,0.037461774,0,0,0.028557599,0,-0.01892551,0,0,0.030255932,0,Christians,,About Muslims,FALSE,FALSE,0,0,0,0.060869565,0,0,0,0,-0.027414286,0
2009,q&a,random,general live event,About religious people,TRUE,TRUE,0.073139975,0,0.029761905,0,0.063555219,-0.056805177,0,-0.050716667,0,-0.018870494,2,0.001183225,0.000740025,,,About Christian preachers,TRUE,TRUE,0.118965716,0,0,0.078947368,0,-0.128071481,0,0,0.073981481,0,Christians,,About Muslims,TRUE,FALSE,0,0.026086957,0.004944931,0,0.041666667,0,0.00592716,0.121033333,0,-0.063909259
2010,q&a,random,general live event,About Christians,FALSE,TRUE,0.036124795,0.046296296,0.064304462,0,0,0.041678788,-0.075268333,-0.192134694,0,0,1,0.000819434,0.008531974,,,About Christians,FALSE,FALSE,0.037461774,0,0.100838716,0,0,0.01892551,0,0.035577679,0,0,Christians,,About Muslims,TRUE,TRUE,0,0,0,0.038065844,0.06557377,0,0,0,-0.028841892,0.134059375
2010,q&a,random,general live event,About Christians,TRUE,FALSE,0.08938172,0,0,0.042260692,0.066239316,-0.122235579,0,0,-0.030729518,0.037831048,1,0.001582817,0.003666465,,,About Christians,FALSE,TRUE,0,0.066037736,0,0,0.068627451,0,-0.042798571,0,0,-0.048564286,Christians,,About moderate Muslims,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0
2010,q&a,random,general live event,About Christians,TRUE,TRUE,0.017409066,0.034331662,0.032391928,0.020835452,0.041527502,-0.000794555,-0.022551121,0.013166158,-0.000212086,-0.079249257,1.8,9.94E-05,0.001338981,,,About Christians,TRUE,FALSE,0.01190546,0.025534529,0.062826704,0.053216975,0.014825442,-0.001607088,0.009266905,-0.017075752,-0.024270291,0.029192979,Christians,,About moderate Muslims,TRUE,TRUE,0.055449331,0,0.054794521,0,0,0.207025,0,-0.032290625,0,0
2010,q&a,random,general live event,About nonreligious people,TRUE,TRUE,0,0.02020202,0.039458283,0.025641026,0.03,0,0.000403,-0.010428711,0.023096,-0.035748333,2.5,0.000215915,0.000454358,,,About Christians,TRUE,TRUE,0,0.071942446,0,0.064516129,0,0,0.0828375,0,0.027283333,0,Christians,,About Muslims,TRUE,FALSE,0.140625,0.038834951,0.047619048,0,0,-0.17521358,-0.095594444,-0.052571429,0,0
2010,q&a,random,general live event,About religious people,TRUE,FALSE,0.127540255,0.015499578,0,0.026041667,0.025363372,-0.025344208,0.011148627,0,-0.003125,-0.022331581,5.333333333,0.002566615,0.000240157,,,About Christians,FALSE,FALSE,0.104166667,0,0,0,0,-0.14952,0,0,0,0,Christians,,,,,,,,,,,,,,
